"uid"	"qRad"	"qLat"	"qLong"	"qString"	"block"	"isDone"	"timLocs"
"35060324"	183.064211512881	45.41515	-75.68346	"45.41515,-75.68346"	43	FALSE	""
"35370764"	2110.23505873295	42.02607	-82.81366	"42.02607,-82.81366"	43	FALSE	""
"46090060"	314.400390616317	49.97488	-98.28318	"49.97488,-98.28318"	43	FALSE	""
"35202163"	177.726949995801	43.7307	-79.46066	"43.7307,-79.46066"	43	FALSE	""
"35340033"	222.522997069441	42.77262	-81.17878	"42.77262,-81.17878"	43	FALSE	""
"46110468"	225.006569951583	49.83832	-97.12439	"49.83832,-97.12439"	43	FALSE	""
"48070179"	5002.34848239541	52.19372	-112.71174	"52.19372,-112.71174"	43	FALSE	""
"35530353"	320.114545303823	46.5462	-80.89225	"46.5462,-80.89225"	43	FALSE	""
"35431089"	274.558246816722	44.41967	-79.69933	"44.41967,-79.69933"	43	FALSE	""
"35420223"	5194.19102080365	44.28592	-80.28551	"44.28592,-80.28551"	43	FALSE	""
"35370180"	159.483287668176	42.30898	-83.03958	"42.30898,-83.03958"	43	FALSE	""
"59330091"	329.477451786099	50.70257	-120.4101	"50.70257,-120.4101"	43	FALSE	""
"48061263"	262.307035567206	50.94189	-114.03983	"50.94189,-114.03983"	43	FALSE	""
"24490311"	455.951745841716	45.87998	-72.51305	"45.87998,-72.51305"	43	FALSE	""
"35201839"	199.908925608379	43.71972	-79.56252	"43.71972,-79.56252"	43	FALSE	""
"35290023"	311.095396256344	43.1776	-80.27637	"43.1776,-80.27637"	43	FALSE	""
"12090567"	268.453829400587	44.66546	-63.6668	"44.66546,-63.6668"	43	FALSE	""
"24663182"	552.904365272277	45.4487	-73.8052	"45.4487,-73.8052"	43	FALSE	""
"48062339"	337.757204280216	50.90617	-113.96981	"50.90617,-113.96981"	43	FALSE	""
"24570079"	243.800399298077	45.51595	-73.2894	"45.51595,-73.2894"	43	FALSE	""
"12090563"	247.377353042914	44.68482	-63.50587	"44.68482,-63.50587"	43	FALSE	""
"35580456"	4840.53391777687	48.43044	-89.69879	"48.43044,-89.69879"	43	FALSE	""
"24662233"	639.315610328192	45.44753	-73.73188	"45.44753,-73.73188"	43	FALSE	""
"12070139"	886.150599519716	45.04658	-64.74175	"45.04658,-64.74175"	43	FALSE	""
"35202818"	209.633997550661	43.67321	-79.39136	"43.67321,-79.39136"	43	FALSE	""
"35150073"	212.597251865688	44.29917	-78.33785	"44.29917,-78.33785"	43	FALSE	""
"24250183"	567.489089756419	46.71306	-71.28124	"46.71306,-71.28124"	43	FALSE	""
"24710214"	730.853480531275	45.42659	-74.15445	"45.42659,-74.15445"	43	FALSE	""
"24663053"	490.845877305811	45.50146	-73.85582	"45.50146,-73.85582"	43	FALSE	""
"24040050"	1936.41657791553	49.12482	-66.5523	"49.12482,-66.5523"	43	FALSE	""
"35540134"	616.543098380924	47.40165	-79.68782	"47.40165,-79.68782"	43	FALSE	""
"10010207"	437.069809268834	47.5447	-52.75396	"47.5447,-52.75396"	43	FALSE	""
"35061281"	160.780568113204	45.35571	-75.79807	"45.35571,-75.79807"	43	FALSE	""
"24830084"	4986.61023179737	45.97426	-76.07225	"45.97426,-76.07225"	43	FALSE	""
"35200293"	273.758362786324	43.77467	-79.35929	"43.77467,-79.35929"	43	FALSE	""
"24690061"	3541.72612079971	45.08028	-74.12701	"45.08028,-74.12701"	43	FALSE	""
"35061472"	3103.87397341975	45.1157	-75.60372	"45.1157,-75.60372"	43	FALSE	""
"13130070"	2870.39689256092	47.44721	-68.38653	"47.44721,-68.38653"	43	FALSE	""
"24860101"	256.639288942251	48.22894	-79.01348	"48.22894,-79.01348"	43	FALSE	""
"24680055"	1219.64549569554	45.16056	-73.69104	"45.16056,-73.69104"	43	FALSE	""
